"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness - Chonburi",35-44,female,"รับซื้อหมด ทอง เงืน นาก",10.07,1862,1862,,3,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",9.79,26,45,4,2,,2,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",9.24,1191,1252,,3,,2,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,unknown,ขายทองแล้วได้ราคาไม่สูง,8.47,33,46,3,3,,2,,,2,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,male,"รับซื้อหมด ทอง เงืน นาก",8.24,1105,1141,,1,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",6.59,8,20,2,2,,,,2,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",6.54,1218,1218,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",5.67,35,46,,4,,1,,,10,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",5.56,696,738,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,female,"รับซื้อหมด ทอง เงืน นาก",5.56,797,823,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",4.25,25,60,,,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,unknown,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",3.84,50,70,2,41,,3,,,64,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,unknown,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",3.69,7,20,1,,,,,,,,2026-08-01,2026-08-31
