"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",377.1,26337,54859,,4059,,20,1,,50702,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,female,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",363.85,6023,9950,,975,,350,,,9380,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",330.9,7892,10679,,2719,,544,,1,9980,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",301.11,6335,7291,,2095,,640,,1,6834,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",294.26,18860,42681,,3609,1,20,2,,40093,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,female,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",284.62,4539,7072,,2152,,464,,2,6457,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",282.47,26180,40440,,1293,,9,,,36891,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,male,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",282.23,3874,7027,,2328,1,450,,1,6481,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,male,"การันตี ราคาตามจริง",279.88,2371,7088,59,23,,20,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,female,"การันตี ราคาตามจริง",255.92,2537,6953,48,31,1,27,,2,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",254.44,3954,4894,,3729,1,13,,,4831,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,male,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",233.32,4461,6473,,813,,175,3,,5208,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",228.54,3546,4196,,3227,1,13,1,,4144,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",215.37,17154,31106,,1624,,5,,,27427,2026-06-01,2026-06-29
