"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.82,99,201,,14,,,,,182,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"ร้อนเงินเป็นไฟ สี่-02",1.79,191,214,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"ร้อนเงินเป็นไฟ สี่-07",1.76,243,254,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.72,22,39,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"ร้อนเงินเป็นไฟ สี่-02",1.6,180,222,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"ร้อนเงินเป็นไฟ สี่-02",1.54,169,203,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",25-34,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.52,97,191,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.52,147,199,,9,,,,,188,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"ร้อนเงินเป็นไฟ สี่-02",1.48,168,200,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"ร้อนเงินเป็นไฟ สี่-07",1.43,195,204,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.39,57,174,,11,,,,,145,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",45-54,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.38,81,167,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",18-24,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.33,95,179,,,,,,,2,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",55-64,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.27,74,170,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,male,"ร้อนเงินเป็นไฟ สี่-07",1.18,152,165,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.14,60,136,,10,,,,,90,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",35-44,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.06,89,130,,,,,,,1,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"ร้อนเงินเป็นไฟ สี่-07",0.97,117,124,,1,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,unknown,"ร้อนเงินเป็นไฟ สี่-05",0.93,82,104,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",0.93,54,122,,14,,,,,104,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"ร้อนเงินเป็นไฟ สี่-07",0.81,116,119,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"ร้อนเงินเป็นไฟ สี่-02",0.79,85,101,,,,,,,,2026-05-01,2026-05-31
