"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Page Follower",18-24,male,"ของชิ้นเดียว ได้ราคาสองต่อ",51.75,639,1124,17,32,2,25,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",49.73,1251,1415,,6,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",48.82,1282,1356,,13,,11,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,male,"ทองบางชิ้น ทำไมขายคืนยาก",47.72,560,700,7,14,,2,2,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",44.83,1194,1374,,11,,5,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,female,"ทองบางชิ้น ทำไมขายคืนยาก",44.57,479,561,8,10,,4,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",44.21,7623,7750,,6,,4,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",42.83,551,795,,693,,4,,,789,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",38.03,6689,6752,,8,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",37.83,444,496,,2,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",37.82,876,930,,24,,20,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,female,"ของชิ้นเดียว ได้ราคาสองต่อ",36.62,440,694,9,13,,12,,,,,2026-07-01,2026-07-21
